Id,TTS,Text
GsHandUp1,1,아까 너는 그냥 걸어가기만 했지? 손은 안 들었더라.
GsHandUp2,1,"손을 안 들면,차에 있는 사람들이 널 못 보고 차가 그냥 지나갈 수도 있어!"
GsHandUp3,1,그럼 아야하겠지? 그래서 조심해야 해!
GsHandUp4,1,"차에 있는 사람들은,앞이나 옆이 잘 안 보일 때도 있어."
GsHandUp5,1,그래서 우리가 먼저 손을 들어서 알려주는 게 좋아.
GsHandUp6,1,"봐봐,손도 안 들고 그냥 건너고 있지?"
GsHandUp7,1,"손을 안 들면,운전자도 못 보고 멈추기 어려울 수 있어."
GsHandUp8,1,"그럼,이제 어떻게 하면 되는지 같이 볼까?"
GsHandUp9,1,이 친구는 건널 때 손을 들고 있지?
GsHandUp10,1,그럼 차에 있는 사람들도 금방 알아볼 수 있어서 안전하게 건널 수 있어!
GsEnd1,1,어때? 이제 어떻게 하면 좋은지 알겠지?
GsEnd2,1,다시 한번 도로로 돌아가서 다시 도전하자!
GsLookAround1,1,"아까 너는 초록불이 켜지자마자,아무 것도 안 보고 그냥 건넜어."
GsLookAround2,1,가끔은 차가 신호를 놓치고 그냥 지나갈 수도 있어. 그래서 우리가 먼저 확인해야 해.
GsLookAround3,1,"신호가 바뀌었어도,옆에서 오는 차가 있을 수 있어."
GsLookAround4,1,"그래서 꼭,차가 멈췄는지 먼저 보고 건너야 해."
GsLookAround5,1,"봐봐,이 친구는 초록불이 켜지자마자 그냥 건너고 있어."
GsLookAround6,1,깜짝이야! 진짜 놀랐어! 이렇게 초록불인데도 오는 차가 있을 수 있어!
GsLookAround7,1,"그럼,이제 어떻게 하면 되는지 같이 볼까?"
GsLookAround8,1,먼저 좌우를 살펴보고...
GsLookAround9,1,봐봐! 이렇게 하면 진짜 안전하게 건널 수 있어!
Sg6_BlindSpot_1,1,괜찮아! 이건 잘 몰랐을 수도 있거든.
Sg6_BlindSpot_2,1,"왜 위험했는지,같이 알아보자!"
Sg6_BlindSpot_3,1,사실 저기선 운전자가 널 못 봤을 수도 있어.
Sg6_BlindSpot_4,1,그래서 차가 돌거나 움직이기 시작하면 정말 위험할 수 있어.
Sg6_BlindSpot_5,1,"여기서 보면,너도 차 안에 있는 사람 얼굴이 안 보이지?"
Sg6_BlindSpot_6,1,차에 있는 사람도 마찬가지야. 너도 안 보일 수 있어.
Sg6_BlindSpot_7,1,우린 그런 자리를 ‘사각지대’라고 해. 그래서 이런 곳에선 더 조심해야 해.
Sg6_BlindSpot_8,1,"저기 친구가 있는 위치 저긴 차에 가려서,안에서 전혀 볼 수 없어."
Sg6_BlindSpot_9,1,차가 조금만 더 갔으면 부딪힐 뻔했어! 엄청 위험하지?
Sg6_BlindSpot_10,1,그래서 우리는 운전자 시야에 안보이는 사각지대엔 절대 서 있으면 안 되는 거야.
Sg6_BlindSpot_11,1,"그럼,이제 어떻게 하면 되는지 같이 볼까?"
Sg6_BlindSpot_12,1,"봐봐,이 친구는 차 뒤가 아니라,운전자가 잘 볼 수 있는 위치로 이동하지?"
Sg6_BlindSpot_13,1,시동이 걸린 차량 근처를 지나갈 때는 항상 운전자에게 잘 보이는 위치로 이동해야 해.
Sg6_BlindSpot_14,1,어때? 이제 어떻게 하면 좋은지 알겠지?
Sg6_BlindSpot_15,1,다시 한번 도로로 돌아가서 다시 도전하자!
Sg7_Carprediction_1,1,"지금처럼,안 보이는 쪽에서도 차가 나올 수 있어."
Sg7_Carprediction_2,1,"그래서 골목이나 안보이는 곳에서 나서기 전엔,꼭 한 번 더 확인해야 해."
Sg7_Carprediction_3,1,"이렇게 벽이나 차에 가려진 곳에선,차가 와도 우리가 미리 볼 수가 없어."
Sg7_Carprediction_4,1,"혹시 차를 인식 하더라도,‘지금은 괜찮겠지’ 하고 그냥 움직이면 더 위험해질 수 있어."
Sg7_Carprediction_5,1,"그래서 차가 나를 못 봐도,내가 먼저 보는 습관을 가지면 훨씬 더 안전해져."
Sg7_Carprediction_6,1,"어라,저 친구… 주변을 안 보고 그냥 가고 있어."
Sg7_Carprediction_7,1,"방금처럼 서로 못 보면,진짜 큰일 날 수도 있어."
Sg7_Carprediction_8,1,"앞이 안 보이는 길에선,꼭 멈춰서 확인하고 움직여야 해."
Sg7_Carprediction_9,1,"그럼,이제 어떻게 하면 되는지 같이 볼까?"
Sg7_Carprediction_10,1,"봐봐,이 친구는 그냥 나가지 않고 먼저 멈춰서 좌우를 확인했지?"
Sg7_Carprediction_11,1,"앞이 안 보이는 곳에서는,항상 먼저 멈추고 확인하는 거야. 알겠지?"
Sg7_Carprediction_12,1,어때? 이제 어떻게 하면 좋은지 알겠지?
Sg7_Carprediction_13,1,다시 한번 도로로 돌아가서 다시 도전하자!
Str_Look_Beside,,양 옆을 살펴요
Str_Raise_Hand,,손을 머리 높이 올려요
Str_Cross_Road,,손을 들고 길을 건너 봐요
Str_Hehind_Yellow,,노란 안전선 뒤가 안전해요
Str_Waiting_Greenlight,,초록불이 켜질 때까지 기다려요
Str_Meeting_Friend,,친구를 만나러 가야 해요
Ch1_MissionText_0,,안전하게 건널목 건너기!
Ch1_MissionText_1,,우선 멈춰요
Ch1_MissionText_2,,건너기 전 좌우를 살펴요
Ch1_MissionText_3,,손을 들고 횡단해요
Ch2_MissionText_0,,안전하게 골목길 건너기!
Ch2_MissionText_1,,건너기 전 좌우를 살펴요
Ch2_MissionText_2,,손을 들고 횡단해요
Mini1,1,이번엔 아주 특별한 체험을 준비했어!
Mini2,1,차량에는 사각지대라는 게 있대! 얼마나 잘 안 보이는지 직접 확인해보자!
Mini3,1,"사각지대는, 운전자 시야로는 보이지 않는 공간이야."
Mini4,1,"창문으로도, 거울로도 잘 안 보여서… 친구가 거기 있으면 정말 위험해."
Mini5,1,"그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!"
Mini6,1,"사각지대가 얼마나 잘 안 보이는지, 간단한 게임으로 직접 느껴볼까?"
Mini7,1,차량 주변에 장난꾸러기 친구들이 숨어 있을 거야! 너가 지목해서 찾아내면 돼!
Mini8,1,정해진 시간 안에 몇 명을 찾아볼 수 있을까?!
Mini9,1,그럼~ 준비 되었어?!
Mini10,1,수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?
Mini11,1,오~ 잘 찾았는걸?! 정말 잘했어! 근데... 이 친구는 아주 제대로 숨어 있었지?
Mini12,1,"그럼 이제, 아직까지 잘 숨어 있는 친구들은 어디 있었는지 확인해볼까?"
Mini13,1,이처럼 친구들이 숨어있을 때 자동차가 움직였으면 정말 위험했을 거야.
Mini14,1,이제 사각지대가 얼마나 위험한지 잘 알겠지?
Mini15,1,이제 너도 사각지대 전문가야!
Mini16,1,"그럼, 다음 장소로 가보자!"
Mini17,1,주위를 한번 둘러봐!
Str_Announce_Chapter2_4,1,잘했어! 최고야!
Str_Announce_Chapter2_5,1,"골목길 안전 보행 미션 완료! 이제 골목길에서도 스스로 잘 건널 수 있겠는걸?
좋아~ 다음 학습으로 떠나볼까?"
Str_Announce_Chapter2_Minigame_1,1,"이번엔 아주 특별한 체험을 준비했어!
차량에는 사각지대라는 게 있대!
얼마나 잘 안 보이는지 직접 확인해보자!"
Str_Announce_Chapter2_Minigame_2,1,"사각지대는, 운전자 시야로는 보이지 않는 공간이야.
창문으로도, 거울로도 잘 안 보여서…
친구가 거기 있으면 정말 위험해.
그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!"
Str_Announce_Chapter2_Minigame_3,1,"사각지대가 얼마나 잘 안 보이는지, 간단한 게임으로 직접 느껴볼까?
차량 주변에 장난꾸러기 친구들이 숨어 있을 거야!
너가 지목해서 찾아내면 돼!
정해진 시간 안에 몇 명을 찾아볼 수 있을까?!
그럼~ 준비 되었어?!"
Str_Announce_Chapter2_Minigame_4,1,"수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?
오~ 잘 찾았는걸?! 정말 잘했어!
근데... 이 친구는 아주 제대로 숨어 있었지?"
Str_Announce_Chapter2_Minigame_5,1,"그럼 이제, 아직까지 잘 숨어 있는
친구들은 어디 있었는지 확인해볼까?
이처럼 친구들이 숨어있을 때
자동차가 움직였으면 정말 위험했을 거야.
이제 사각지대가 얼마나 위험한지 잘 알겠지?"
Str_Announce_Chapter2_Minigame_6,1,"이제 너도 사각지대 전문가야~!
그럼, 다음 장소로 가보자!"
Str_Announce_Chapter3_1,1,"주변 사람들을 잘 관찰해보는 게임이야!
위험하게 걷는 사람을 찾아서 컨트롤러로 선택해줘!
잘 찾으면 점수가 올라가고, 틀리면 점수가 깎일 수 있어!
시간 안에 많은 사람을 맞혀보자! 준비됐지?"
Str_Announce_Chapter3_2,1,3...2...1...시작!
Str_Announce_Chapter3_3,1,"정말 대단했어!
안전 보행 교육을 완벽히 마친 모범 보행자에게 수료증을 수여합니다!
앞으로도 안전하게 걸을 수 있겠지?  
진심으로 축하해!"
Str_Announce_Chapter3_4,1,"수고했어~!
안전 보행 교육을 잘 마쳐서 수료증을 받을 수 있게 되었어!
조금 더 연습하면 너도 금메달에 도전할 수 있을 거야!"
Str_Announce_Chapter3_5,1,"정말 수고했어~ 여기까지 온 것도 멋진 일이야!
모든 게임을 끝까지 해낸 너에게 보행 안전 수료증을 줄게!
다음엔 더 멋지게 해낼 수 있을 거야!  
내가 항상 응원할게~"
Chapter1ClearText,,건널목을 건너요 챕터의 안전 보행왕 달성을 축하합니다!
Chapter2ClearText,,골목길길을 건너요 챕터의 안전 보행왕 달성을 축하합니다!
Tutorial,,튜토리얼
Chapter1,,챕터 1
Chapter2,,챕터 2
Chapter3,,챕터 3
NickName,,닉네임
Ok,,확인
Exit,,나가기
Start,,시작
Settings,,설정
Chapter3Mission,,"교통 규칙을 지키지 않고, 뛰는 캐릭터를 잡아보자!"
MissedCharacterCount,,놓친 캐릭터 수
Success,,성공
Todo,,목표
DisplaySettings,,화면 설정
ControlSettings,,조작 설정
SoundSettings,,사운드 설정
GoToMain,,메인으로 나가기
Close,,닫기
RenderingScale,,렌더링 스케일
ChangeBrightness,,밝기 조절
Low,,낮음
High,,높음
Dark,,어두움
Bright,,밝음
ColorBlindnessOptions,,색약 옵션
ResetSettings,,설정값 초기화
NoRotation,,컨트롤러 회전 사용안함
FixedAngleRotation,,고정각도 회전
SmoothRotation,,부드러운 회전
RotationAngle,,회전각도
SmoothRotationSpeed,,부드러운 회전 속도
Slow,,느림
Fast,,빠름
MasterVolume,,전체 음량
BgmVolume,,BGM 볼륨
VoiceVolume,,음성 안내 볼륨
SfxVolume,,효과음 볼륨
WhatYourName,,당신의 이름은?
EnterName,,이름을 입력해주세요.
NameValidationMessage1,,"한글, 영어 대소문자 가능"
NameValidationMessage2,,여백 불가/초성 불가/최대 8자
TutorialCaution,,주의 사항
TutorialCaution1,,보호자의 지도 필요
TutorialCaution2,,"팔 들기, 고개 돌리기 등 큰 동작 조심하기"
TutorialCaution3,,어지럼증 시 즉시 중단
TutorialConfirm,,아래 닉네임으로 설정하시겠습니까?
Back,,이전
NicknameSetupComplete,,닉네임 설정 완료!
MyNickName,,내 닉네임
FoundFriendCount,,찾은 친구 수
NotFoundFriendCount,,찾지 못한 친구 수
ColorBlindnessCorrection,,색약 보정
ColorBlindnessOff,,끔
ColorBlindnessRed,,적색
ColorBlindnessGreen,,녹색
ColorBlindnessBlue,,청색
CompleteInput,,입력완료
Next,,다음
TutoMoveSwingTip,,팔을 휘둘러 캐릭터를 향해 걸어보세요!
TutoMoveLookaroundTip,,왼쪽 오른쪽을 둘러봐 게이지를 채워봐요!
TutoCrosswalkTip,,왼손을 들고 횡단보도를 건너봐요
TutorialClearTitle,,튜토리얼 클리어!!
TutorialClearText,,"축하해요! 연습을 모두 마쳤어요!!
이제 안전 보행왕이 되기 위해 다음 챕터로 이동해볼까요?"
Korean,,한국어
English,,영어
French,,프랑스어
german,,독일어
Russian,,러시아어
End,,종료
Language,,언어
