id,ko,en
Sg5_5,갑자기 멈추면 주변이 혼란스러워질 수 있어.,"If you stop suddenly, the surroundings may become chaotic."
Sg5_6,도로는 그냥 서 있기엔 너무 위험한 곳이야.,The road is too dangerous to just stand there.
Sg5_7,차는 네가 계속 걷는다고 생각하고 멈춰 있었는데,The car stopped because it thought you were going to keep walking.
Sg5_8,"멈춰버리면,차도 그렇고 뒤따라오는 사람들도 ‘어? 왜 멈췄지?’ 하고 당황할 수 있어.","If you stop, the car and the people following behind you may be confused and ask, ""Huh? Why did you stop?"""
Sg5_9,"그렇게 흐름이 엉키면,더 위험한 상황이 생길 수 있어.","If the flow gets tangled like that, a more dangerous situation can arise."
Sg5_10,"그래서 도로 위에서는,멈추지 않고 쭉 걷는 게 가장 안전한 거야.","So, on the road, the safest thing to do is to just keep walking without stopping."
Sg5_11,"방금처럼 갑자기 멈추면,뒤에 오는 사람도 놀라서 다칠 수 있어.","If you stop suddenly like you just did, people behind you could be surprised and get hurt."
Sg5_12,"이렇게 흐름이 엉키면,차도 보행자도 다 위험해질 수 있어.","If the flow becomes entangled like this, it can be dangerous for both cars and pedestrians."
Sg5_13,"자,이제 어떻게 하면 되는지 같이 한번 볼까?","Okay, let's take a look at how to do it."
Sg5_14,"정말 간단해! 도로를 걸을 땐,멈추지 않고 끝까지 쭉 걷는 거야.","It's really simple! When you walk on the road, just walk straight to the end without stopping."
Sg5_15,너라면 분명히 할 수 있을 거야. 믿고 있어!,I'm sure you can do it. I believe in you!
Sg5_16,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?"
Sg5_17,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!
Sg8_1,지금 그건… 정말 하면 안 되는 행동이었어.,Now that was… something I really shouldn’t have done.
Sg8_2,"왜 그런 위험한 행동을 한 거야? 장난이라도,그런 짓은 절대 하면 안 돼.","Why did you do something so dangerous? Even as a joke, you should never do something like that."
Sg8_3,"너 지금,신호가 빨간불이었는데 건넜거나…혹은,횡단보도도 아닌데 도로에 들어왔지?","You just now, did you cross the street when the light was red? Or, did you enter the street when it wasn't a crosswalk?"
Sg8_4,"이럴 땐 차도 너를 못 보고,차가 멈추는 것도 거의 불가능해.","At times like this, the car can't see you, and it's almost impossible for the car to stop."
Sg8_5,"정말,한순간에 큰 사고로 이어질 수 있어.","Seriously, it could lead to a major accident in an instant."
Sg8_6,"신호등이랑 횡단보도는,사람이 언제 어디서 건널지 차가 알 수 있게 도와주는 약속이야.",Traffic lights and crosswalks are a promise to help cars know when and where people should cross.
Sg8_7,"근데 그걸 지키지 않으면,차도 나도 서로 뭘 할지 몰라서,너무 위험해지는 거야.","But if we don't keep that in mind, it becomes too dangerous because neither the car nor I know what to do."
Sg8_8,"그래서 길을 건널 땐,신호에 맞춰,정해진 길에서만 건너야 해.","So when crossing the street, you must follow the signal and only cross on the designated road."
Sg8_9,"그럼,이번엔 어떻게 해야 안전한지 차분히 보여줄게.","Okay, this time I'll show you calmly how to be safe."
Sg8_10,"빨간불일 땐,이렇게 노란 안전선 뒤에서 멈춰 있어야 해.","When the light is red, you must stop behind the yellow safety line like this."
Sg8_11,"초록불로 바뀌면,좌우를 확인하고 손을 들고 천천히 건너면 돼.","When the light turns green, look left and right, raise your hand, and cross slowly."
Sg8_12,"신호를 지키는 건,네 안전을 지키는 거란 걸 꼭 기억해.",Always remember that obeying the signal protects your safety.
Sg8_13,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?"
Sg8_14,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!
GsStart1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.
GsStart2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!
GsHandUp1,아까 너는 그냥 걸어가기만 했지? 손은 안 들었더라.,"You just walked away earlier, didn't you? You didn't even raise your hand."
GsHandUp2,"손을 안 들면,차에 있는 사람들이 널 못 보고 차가 그냥 지나갈 수도 있어!","If you don't raise your hand, the people in the car might not see you and the car might just pass by!"
GsHandUp3,그럼 아야하겠지? 그래서 조심해야 해!,"Well, then you have to be careful, right?"
GsHandUp4,"차에 있는 사람들은,앞이나 옆이 잘 안 보일 때도 있어.",People in cars sometimes have difficulty seeing in front or to the sides.
GsHandUp5,그래서 우리가 먼저 손을 들어서 알려주는 게 좋아.,So it's better for us to raise our hands first and let them know.
GsHandUp6,"봐봐,손도 안 들고 그냥 건너고 있지?","Look, he's just crossing without even raising his hand."
GsHandUp7,"손을 안 들면,운전자도 못 보고 멈추기 어려울 수 있어.","If you don't raise your hand, the driver may not be able to see you and it may be difficult to stop."
GsHandUp8,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?"
GsHandUp9,이 친구는 건널 때 손을 들고 있지?,Isn't this guy raising his hand when he crosses?
GsHandUp10,그럼 차에 있는 사람들도 금방 알아볼 수 있어서 안전하게 건널 수 있어!,"Then, people in cars can quickly recognize you and cross the street safely!"
GsEnd1,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?"
GsEnd2,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!
GsLookAround1,"아까 너는 초록불이 켜지자마자,아무 것도 안 보고 그냥 건넜어.","Earlier, as soon as the green light turned on, you just crossed without looking at anything."
GsLookAround2,가끔은 차가 신호를 놓치고 그냥 지나갈 수도 있어. 그래서 우리가 먼저 확인해야 해.,"Sometimes cars miss the signal and just pass by, so we have to check first."
GsLookAround3,"신호가 바뀌었어도,옆에서 오는 차가 있을 수 있어.","Even if the signal changes, there may be a car coming from the side."
GsLookAround4,"그래서 꼭,차가 멈췄는지 먼저 보고 건너야 해.","So, you must check first to see if the car has stopped before crossing."
GsLookAround5,"봐봐,이 친구는 초록불이 켜지자마자 그냥 건너고 있어.","Look, this guy just crosses the street as soon as the light turns green."
GsLookAround6,깜짝이야! 진짜 놀랐어! 이렇게 초록불인데도 오는 차가 있을 수 있어!,Wow! I'm really surprised! There can be cars coming even when the light is green!
GsLookAround7,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?"
GsLookAround8,먼저 좌우를 살펴보고...,"First, look left and right..."
GsLookAround9,봐봐! 이렇게 하면 진짜 안전하게 건널 수 있어!,"Look! If you do this, you can cross really safely!"
Sg6_BlindSpot_1,괜찮아! 이건 잘 몰랐을 수도 있거든.,It's okay! You might not have known this.
Sg6_BlindSpot_2,"왜 위험했는지,같이 알아보자!",Let's find out together why it was dangerous!
Sg6_BlindSpot_3,사실 저기선 운전자가 널 못 봤을 수도 있어.,"Actually, the driver might not have seen you there."
Sg6_BlindSpot_4,그래서 차가 돌거나 움직이기 시작하면 정말 위험할 수 있어.,So if the car starts spinning or moving it can be really dangerous.
Sg6_BlindSpot_5,"여기서 보면,너도 차 안에 있는 사람 얼굴이 안 보이지?","If you look here, can't you see the face of the person inside the car?"
Sg6_BlindSpot_6,차에 있는 사람도 마찬가지야. 너도 안 보일 수 있어.,The same goes for people in cars. You might not be visible either.
Sg6_BlindSpot_7,우린 그런 자리를 ‘사각지대’라고 해. 그래서 이런 곳에선 더 조심해야 해.,We call those places ‘blind spots.’ That’s why we have to be more careful in these places.
Sg6_BlindSpot_8,"저기 친구가 있는 위치 저긴 차에 가려서,안에서 전혀 볼 수 없어.","There's a car blocking the location of my friend, so I can't see him at all from inside."
Sg6_BlindSpot_9,차가 조금만 더 갔으면 부딪힐 뻔했어! 엄청 위험하지?,"If the car had gone a little further, we almost crashed! Isn't that incredibly dangerous?"
Sg6_BlindSpot_10,그래서 우리는 운전자 시야에 안보이는 사각지대엔 절대 서 있으면 안 되는 거야.,That's why we should never stand in the blind spot of the driver's view.
Sg6_BlindSpot_11,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?"
Sg6_BlindSpot_12,"봐봐,이 친구는 차 뒤가 아니라,운전자가 잘 볼 수 있는 위치로 이동하지?","Look, this guy, instead of moving to the back of the car, why don't you move to a position where the driver can see you?"
Sg6_BlindSpot_13,시동이 걸린 차량 근처를 지나갈 때는 항상 운전자에게 잘 보이는 위치로 이동해야 해.,"When passing a running vehicle, always move to a position where the driver can see you."
Sg6_BlindSpot_14,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?"
Sg6_BlindSpot_15,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!
Sg7_Carprediction_1,"지금처럼,안 보이는 쪽에서도 차가 나올 수 있어.","Just like now, cars can come out from the side you can't see."
Sg7_Carprediction_2,"그래서 골목이나 안보이는 곳에서 나서기 전엔,꼭 한 번 더 확인해야 해.","So before you go out into an alley or somewhere out of sight, you should definitely check once more."
Sg7_Carprediction_3,"이렇게 벽이나 차에 가려진 곳에선,차가 와도 우리가 미리 볼 수가 없어.","In places like this where we are blocked by walls or cars, we can't see a car coming in advance."
Sg7_Carprediction_4,"혹시 차를 인식 하더라도,‘지금은 괜찮겠지’ 하고 그냥 움직이면 더 위험해질 수 있어.","Even if you recognize the car, if you think, ‘It’s okay now,’ and just move on, it can be more dangerous."
Sg7_Carprediction_5,"그래서 차가 나를 못 봐도,내가 먼저 보는 습관을 가지면 훨씬 더 안전해져.","So, if I get into the habit of looking at cars first, even if they can't see me, I'll be much safer."
Sg7_Carprediction_6,"어라,저 친구… 주변을 안 보고 그냥 가고 있어.","Hey, that guy… He’s just walking without looking around."
Sg7_Carprediction_7,"방금처럼 서로 못 보면,진짜 큰일 날 수도 있어.","If we can't see each other like we did just now, we could be in real trouble."
Sg7_Carprediction_8,"앞이 안 보이는 길에선,꼭 멈춰서 확인하고 움직여야 해.","On a road where you can't see ahead, you must stop, check, and then move."
Sg7_Carprediction_9,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?"
Sg7_Carprediction_10,"봐봐,이 친구는 그냥 나가지 않고 먼저 멈춰서 좌우를 확인했지?","Look, this guy didn't just go out, he stopped first and looked left and right?"
Sg7_Carprediction_11,"앞이 안 보이는 곳에서는,항상 먼저 멈추고 확인하는 거야. 알겠지?","In places where you can't see ahead, always stop and check first. Okay?"
Sg7_Carprediction_12,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?"
Sg7_Carprediction_13,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!
Str_Look_Beside,양 옆을 살펴요,Look at both sides
Str_Raise_Hand,손을 머리 높이 올려요,Raise your hands high above your head.
Str_Cross_Road,손을 들고 길을 건너 봐요,Raise your hand and cross the street.
Str_Hehind_Yellow,노란 안전선 뒤가 안전해요,It's safe behind the yellow safety line.
Str_Waiting_Greenlight,초록불이 켜질 때까지 기다려요,Wait until the green light turns on.
Str_Meeting_Friend,친구를 만나러 가야 해요,I have to go meet a friend
Ch1_MissionText_0,안전하게 건널목 건너기!,Cross the street safely!
Ch1_MissionText_1,우선 멈춰요,"First of all, stop."
Ch1_MissionText_2,건너기 전 좌우를 살펴요,Look left and right before crossing
Ch1_MissionText_3,손을 들고 횡단해요,Raise your hand and cross the street
Ch2_MissionText_0,안전하게 골목길 건너기!,Cross the street safely!
Ch2_MissionText_1,건너기 전 좌우를 살펴요,Look left and right before crossing
Ch2_MissionText_2,손을 들고 횡단해요,Raise your hand and cross the street
Mini1,이번엔 아주 특별한 체험을 준비했어!,"This time, we've prepared a very special experience!"
Mini2,차량에는 사각지대라는 게 있대! 얼마나 잘 안 보이는지 직접 확인해보자!,There's something called a blind spot in a car! Let's see for yourself how hard it is to see!
Mini3,"사각지대는, 운전자 시야로는 보이지 않는 공간이야.",Blind spots are areas that are not visible to the driver.
Mini4,"창문으로도, 거울로도 잘 안 보여서… 친구가 거기 있으면 정말 위험해.",I can't see very well through the window or the mirror... It's really dangerous if my friend is there.
Mini5,"그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!","So from now on, you will see it with your own eyes!"
Mini6,"사각지대가 얼마나 잘 안 보이는지, 간단한 게임으로 직접 느껴볼까?",How about experiencing for yourself how poorly blind spots are seen with a simple game?
Mini7,차량 주변에 장난꾸러기 친구들이 숨어 있을 거야! 너가 지목해서 찾아내면 돼!,There will be mischievous friends hiding around the car! You just have to point them out and find them!
Mini8,정해진 시간 안에 몇 명을 찾아볼 수 있을까?!,How many people can you find within the given time?!
Mini9,그럼~ 준비 되었어?!,So~ are you ready?!
Mini10,수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?,Good job! Let's see how well you found your friends.
Mini11,오~ 잘 찾았는걸?! 정말 잘했어! 근데... 이 친구는 아주 제대로 숨어 있었지?,"Oh~ You found it?! You did a great job! But... this guy was hiding really well, right?"
Mini12,"그럼 이제, 아직까지 잘 숨어 있는 친구들은 어디 있었는지 확인해볼까?","So now, let's check where our friends who have been hiding well until now are?"
Mini13,이처럼 친구들이 숨어있을 때 자동차가 움직였으면 정말 위험했을 거야.,"If the car had moved while my friends were hiding like this, it would have been really dangerous."
Mini14,이제 사각지대가 얼마나 위험한지 잘 알겠지?,"Now you know how dangerous blind spots can be, right?"
Mini15,이제 너도 사각지대 전문가야~!,Now you're a blind spot expert!
Mini16,"그럼, 다음 장소로 가보자!","Well then, let's go to the next place!"
Mini17,주위를 한번 둘러봐!,Take a look around!
Str_Announce_Chapter2_4,잘했어! 최고야!,Good job! You're the best!
Str_Announce_Chapter2_5,"골목길 안전 보행 미션 완료! 이제 골목길에서도 스스로 잘 건널 수 있겠는걸?
좋아~ 다음 학습으로 떠나볼까?","Alleyway safe walking mission completed! Now you can cross the alleyway by yourself, right? Alright~ Shall we move on to the next lesson?"
Str_Announce_Chapter2_Minigame_1,"이번엔 아주 특별한 체험을 준비했어!
차량에는 사각지대라는 게 있대!
얼마나 잘 안 보이는지 직접 확인해보자!","This time, I've prepared a very special experience!
There is something called a blind spot in a car!
Let's see for yourself how hard it is to see!"
Str_Announce_Chapter2_Minigame_2,"사각지대는, 운전자 시야로는 보이지 않는 공간이야.
창문으로도, 거울로도 잘 안 보여서…
친구가 거기 있으면 정말 위험해.
그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!","Blind spots are spaces that cannot be seen by the driver.
They are not visible through windows or mirrors…
It is really dangerous if your friend is there.
So from now on, you will check it with your own eyes!"
Str_Announce_Chapter2_Minigame_3,"사각지대가 얼마나 잘 안 보이는지, 간단한 게임으로 직접 느껴볼까?
차량 주변에 장난꾸러기 친구들이 숨어 있을 거야!
너가 지목해서 찾아내면 돼!
정해진 시간 안에 몇 명을 찾아볼 수 있을까?!
그럼~ 준비 되었어?!","How hard is it to see the blind spot? Let's experience it for yourself with a simple game.
There will be mischievous friends hiding around the car!
You have to point them out and find them!
How many can you find in the given time?!
So~ Are you ready?!"
Str_Announce_Chapter2_Minigame_4,"수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?
오~ 잘 찾았는걸?! 정말 잘했어!
근데... 이 친구는 아주 제대로 숨어 있었지?","Good job! Let's see how well you found your friends.
Oh~ You found them?! You did a great job!
But... this friend hid really well, right?"
Str_Announce_Chapter2_Minigame_5,"그럼 이제, 아직까지 잘 숨어 있는
친구들은 어디 있었는지 확인해볼까?
이처럼 친구들이 숨어있을 때
자동차가 움직였으면 정말 위험했을 거야.
이제 사각지대가 얼마나 위험한지 잘 알겠지?","Now, let's check where our friends who are still well hidden are.
If the car had moved while our friends were hiding like this, it would have been really dangerous.
Now you know how dangerous blind spots are, right?"
Str_Announce_Chapter2_Minigame_6,"이제 너도 사각지대 전문가야~!
그럼, 다음 장소로 가보자!","Now you're a blind spot expert~!
Then, let's go to the next location!"
Str_Announce_Chapter3_1,"주변 사람들을 잘 관찰해보는 게임이야!
위험하게 걷는 사람을 찾아서 컨트롤러로 선택해줘!
잘 찾으면 점수가 올라가고, 틀리면 점수가 깎일 수 있어!
시간 안에 많은 사람을 맞혀보자! 준비됐지?","It's a game where you have to observe the people around you carefully!
Find people walking dangerously and select them with the controller!
If you find them correctly, your score will go up, and if you get them wrong, your score may go down!
Let's guess as many people as possible within the time limit! Are you ready?"
Str_Announce_Chapter3_2,3...2...1...시작!,3...2...1...start!
Str_Announce_Chapter3_3,"정말 대단했어!
안전 보행 교육을 완벽히 마친 모범 보행자에게 수료증을 수여합니다!
앞으로도 안전하게 걸을 수 있겠지?  
진심으로 축하해!","That was really great!
A certificate of completion is given to the model pedestrian who has completed the safety walking training perfectly!
I hope you will be able to walk safely in the future?
Congratulations from the bottom of my heart!"
Str_Announce_Chapter3_4,"수고했어~!
안전 보행 교육을 잘 마쳐서 수료증을 받을 수 있게 되었어!
조금 더 연습하면 너도 금메달에 도전할 수 있을 거야!","You worked hard~!
You successfully completed the safety walking training and were able to receive a certificate!
If you practice a little more, you too can challenge for the gold medal!"
Str_Announce_Chapter3_5,"정말 수고했어~ 여기까지 온 것도 멋진 일이야!
모든 게임을 끝까지 해낸 너에게 보행 안전 수료증을 줄게!
다음엔 더 멋지게 해낼 수 있을 거야!  
내가 항상 응원할게~","You worked really hard~ It's great that you've come this far!
I'll give you a pedestrian safety certificate for completing all the games!
You'll do even better next time!
I'll always cheer you on~"
Chapter1ClearText,건널목을 건너요 챕터의 안전 보행왕 달성을 축하합니다!,Congratulations on achieving the Safe Pedestrian King title in the Crossing the Crosswalk chapter!
Chapter2ClearText,골목길길을 건너요 챕터의 안전 보행왕 달성을 축하합니다!,Congratulations on achieving the Safe Pedestrian King title in the Crossing the Alley chapter!
Tutorial,튜토리얼,Tutorial
Chapter1,챕터 1,Chapter 1
Chapter2,챕터 2,Chapter 2
Chapter3,챕터 3,Chapter 3
NickName,닉네임,nickname
Ok,확인,check
Exit,나가기,Exit
Start,시작,start
Settings,설정,setting
Chapter3Mission,"교통 규칙을 지키지 않고, 뛰는 캐릭터를 잡아보자!",Let's catch the character running without following traffic rules!
MissedCharacterCount,놓친 캐릭터 수,Number of characters missed
Success,성공,success
Todo,목표,target
DisplaySettings,화면 설정,Screen settings
ControlSettings,조작 설정,Operation settings
SoundSettings,사운드 설정,Sound settings
GoToMain,메인으로 나가기,Go to main
Close,닫기,close
RenderingScale,렌더링 스케일,Rendering scale
ChangeBrightness,밝기 조절,Brightness control
Low,낮음,lowness
High,높음,height
Dark,어두움,gloominess
Bright,밝음,Brightness
ColorBlindnessOptions,색약 옵션,Colorblind options
ResetSettings,설정값 초기화,Reset settings
NoRotation,컨트롤러 회전 사용안함,Disable controller rotation
FixedAngleRotation,고정각도 회전,Fixed angle rotation
SmoothRotation,부드러운 회전,Smooth rotation
RotationAngle,회전각도,Rotation angle
SmoothRotationSpeed,부드러운 회전 속도,Smooth rotation speed
Slow,느림,Slow
Fast,빠름,speed
MasterVolume,전체 음량,Full volume
BgmVolume,BGM 볼륨,BGM volume
VoiceVolume,음성 안내 볼륨,Voice guidance volume
SfxVolume,효과음 볼륨,Sound effect volume
WhatYourName,당신의 이름은?,What is your name?
EnterName,이름을 입력해주세요.,Please enter your name.
NameValidationMessage1,"한글, 영어 대소문자 가능","Korean, English uppercase and lowercase letters are possible"
NameValidationMessage2,여백 불가/초성 불가/최대 8자,No spaces/No initial consonants/Maximum 8 characters
TutorialCaution,주의 사항,caution
TutorialCaution1,보호자의 지도 필요,Parental guidance required
TutorialCaution2,"팔 들기, 고개 돌리기 등 큰 동작 조심하기",Be careful of large movements such as lifting your arms or turning your head.
TutorialCaution3,어지럼증 시 즉시 중단,Stop immediately if you feel dizzy.
TutorialConfirm,아래 닉네임으로 설정하시겠습니까?,Would you like to set it as the nickname below?
Back,이전,Back
NicknameSetupComplete,닉네임 설정 완료!,Nickname setup complete!
MyNickName,내 닉네임,My nickname
FoundFriendCount,찾은 친구 수,Number of friends found
NotFoundFriendCount,찾지 못한 친구 수,Number of friends not found
ColorBlindnessCorrection,색약 보정,Color blindness correction
ColorBlindnessOff,끔,Off
ColorBlindnessRed,적색,Red
ColorBlindnessGreen,녹색,green
ColorBlindnessBlue,청색,blue
CompleteInput,입력완료,Input completed
Next,다음,Next
TutoMoveSwingTip,팔을 휘둘러 캐릭터를 향해 걸어보세요!,Walk towards the character by swinging your arms!
TutoMoveLookaroundTip,왼쪽 오른쪽을 둘러봐 게이지를 채워봐요!,Look left and right and fill up the gauge!
TutoCrosswalkTip,왼손을 들고 횡단보도를 건너봐요,Raise your left hand and cross the crosswalk.
TutorialClearTitle,튜토리얼 클리어!!,Clear the tutorial!!
TutorialClearText,"축하해요! 연습을 모두 마쳤어요!!
이제 안전 보행왕이 되기 위해 다음 챕터로 이동해볼까요?","Congratulations! You've completed all the exercises!! Now, shall we move on to the next chapter to become the safe walking king?"
Korean,한국어,Korean
English,영어,English
French,프랑스어,French
german,독일어,German
Russian,러시아어,Russian
